clock	watch	T_int	T_ext	T_set	Cp	Ci	Cd	Hp	Hi	Hd
20200714 134816	514.006	30.0	30.74	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134818	516.055	29.97	30.72	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134820	518.105	29.96	30.7	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134822	520.15	29.93	30.7	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134824	522.191	29.91	30.69	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134827	524.243	29.88	30.68	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134829	526.293	29.86	30.67	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134831	528.336	29.84	30.65	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134833	530.389	29.81	30.65	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134835	532.436	29.8	30.63	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134837	534.499	29.77	30.63	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134839	536.544	29.74	30.61	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134841	538.592	29.73	30.6	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134843	540.641	29.7	30.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134845	542.688	29.69	30.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134847	544.736	29.66	30.57	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134849	546.784	29.63	30.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134851	548.832	29.61	30.54	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134853	550.874	29.59	30.54	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134855	552.928	29.57	30.52	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134857	554.976	29.54	30.52	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134859	557.023	29.52	30.5	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134901	559.071	29.5	30.48	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134903	561.118	29.47	30.48	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134905	563.161	29.46	30.46	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134908	565.212	29.43	30.46	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134910	567.261	29.4	30.44	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134912	569.309	29.39	30.42	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134914	571.356	29.36	30.42	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134916	573.404	29.35	30.4	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134918	575.444	29.32	30.4	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134920	577.499	29.29	30.38	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134922	579.547	29.27	30.36	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134924	581.594	29.25	30.36	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134926	583.642	29.23	30.34	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134928	585.69	29.2	30.33	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134930	587.737	29.18	30.32	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134932	589.785	29.16	30.3	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134934	591.834	29.14	30.29	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134936	593.874	29.12	30.28	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134938	595.926	29.09	30.27	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134940	597.975	29.07	30.25	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134942	600.019	29.05	30.23	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134944	602.07	29.02	30.23	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134946	604.118	29.01	30.21	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134948	606.166	28.98	30.21	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134951	608.213	28.95	30.19	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134953	610.261	28.94	30.17	30.0	1	0.0	0.0	0.5	0.0	0.0
