clock	watch	T_int	T_ext	T_ref
20200713 230152	1112.435	4.51	7.87	6.808
20200713 230154	1114.564	4.51	7.86	6.793
20200713 230157	1116.688	4.49	7.86	6.777
20200713 230159	1118.818	4.47	7.86	6.77
20200713 230201	1120.946	4.47	7.85	6.755
20200713 230203	1123.073	4.45	7.84	6.747
20200713 230205	1125.2	4.44	7.84	6.732
20200713 230207	1127.326	4.43	7.82	6.724
20200713 230209	1129.454	4.42	7.82	6.709
20200713 230211	1131.582	4.4	7.81	6.694
20200713 230214	1133.708	4.4	7.8	6.686
20200713 230216	1135.837	4.38	7.79	6.686
20200713 230218	1137.965	4.37	7.78	6.656
20200713 230220	1140.089	4.36	7.77	6.648
20200713 230222	1142.205	4.35	7.77	6.641
20200713 230224	1144.333	4.34	7.76	6.633
20200713 230226	1146.458	4.33	7.75	6.618
20200713 230228	1148.587	4.32	7.74	6.603
20200713 230231	1150.714	4.31	7.72	6.587
20200713 230233	1152.84	4.3	7.71	6.572
20200713 230235	1154.966	4.29	7.71	6.572
20200713 230237	1157.092	4.28	7.7	6.557
20200713 230239	1159.205	4.27	7.69	6.549
20200713 230241	1161.332	4.26	7.69	6.534
20200713 230243	1163.458	4.25	7.68	6.527
20200713 230245	1165.57	4.24	7.67	6.511
20200713 230248	1167.681	4.23	7.67	6.504
20200713 230250	1169.793	4.22	7.66	6.487
20200713 230252	1171.906	4.22	7.64	6.472
20200713 230254	1174.035	4.21	7.63	6.464
20200713 230256	1176.162	4.2	7.62	6.457
20200713 230258	1178.291	4.2	7.6	6.449
20200713 230300	1180.414	4.19	7.6	6.434
20200713 230302	1182.525	4.18	7.59	6.418
20200713 230304	1184.642	4.17	7.58	6.41
20200713 230307	1186.767	4.16	7.58	6.395
20200713 230309	1188.896	4.16	7.57	6.38
20200713 230311	1191.024	4.15	7.56	6.38
20200713 230313	1193.15	4.14	7.55	6.364
20200713 230315	1195.278	4.13	7.54	6.349
20200713 230317	1197.402	4.12	7.53	6.341
20200713 230319	1199.516	4.11	7.53	6.334
20200713 230321	1201.641	4.1	7.52	6.318
20200713 230324	1203.773	4.09	7.51	6.311
20200713 230326	1205.898	4.08	7.5	6.295
20200713 230328	1208.028	4.08	7.49	6.295
20200713 230330	1210.151	4.06	7.47	6.287
20200713 230332	1212.264	4.05	7.47	6.264
20200713 230334	1214.393	4.05	7.46	6.257
20200713 230336	1216.519	4.04	7.44	6.241
20200713 230338	1218.649	4.02	7.44	6.234
20200713 230341	1220.777	4.02	7.43	6.226
20200713 230343	1222.899	4.01	7.42	6.211
20200713 230345	1225.012	4.0	7.41	6.203
20200713 230347	1227.125	3.99	7.4	6.203
20200713 230349	1229.255	3.98	7.4	6.18
20200713 230351	1231.378	3.97	7.38	6.18
20200713 230353	1233.49	3.96	7.36	6.164
20200713 230355	1235.619	3.95	7.36	6.157
